Feature,Mean_Absolute_SHAP
GenHlth,0.6174920754722668
HighBP,0.4897887363475394
Age,0.38907883278371663
BMI,0.3823532081267879
HighChol,0.3218987414790428
Sex,0.13096552903129371
Income,0.13047242412196133
CholCheck,0.1062604187980401
HvyAlcoholConsump,0.06153219024862248
HeartDiseaseorAttack,0.05759305584838043
MentHlth,0.05109608032845051
DiffWalk,0.04314608344166994
Education,0.03970323538282154
Stroke,0.016639154414551074
Fruits,0.016111295638055294
PhysHlth,0.01584507170828643
Veggies,0.014035369719111528
PhysActivity,0.011740853165598125
Smoker,0.008468688942000726
NoDocbcCost,0.008155819761743234
AnyHealthcare,0.002800279017930261
